"","ind_id","ind_definition","reportyear","race_eth_code","race_eth_name","geotype","geotypevalue","geoname","county_name","county_fips","region_name","region_code","cost_yr","median_income","affordability_ratio","LL95_affordability_ratio","UL95_affordability_ratio","se_food_afford","rse_food_afford","food_afford_decile","CA_RR_Affordability","ave_fam_size","version"
"133",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03666","Baldwin Park city","Los Angeles","06037","Southern California","14",9572.6544024,26500,0.3612322,0.3105257,0.4119388,0.0258707,7.1617826,3,1.3559639,4.07,2013-04-12 04:33:06
"134",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03694","Ballard CDP","Santa Barbara","06083","Santa Barbara","12",11158.14,72813,0.1532438,0.0249257,0.2815619,0.0654684,42.7217547,8,0.5752339,4.63,2013-04-12 04:33:06
"135",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03708","Ballico CDP","Merced","06047","San Joaquin Valley","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17,2013-04-12 04:33:06
"136",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03792","Bangor CDP","Butte","06007","Butte","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,2013-04-12 04:33:06
"137",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","03820","Banning city","Riverside","06065","Southern California","14",7388.8963896,18607,0.397103,0.2439994,0.5502067,0.0781141,19.6709969,3,1.4906127,3.23,2013-04-12 04:33:06
"138",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04030","Barstow city","San Bernardino","06071","Southern California","14",7703.958624,16752,0.4598829,0.3458911,0.5738747,0.0581591,12.6464963,2,1.7262707,3.4,2013-04-12 04:33:06
"139",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04198","Bass Lake CDP","Madera","06039","San Joaquin Valley","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-12 04:33:06
"140",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04415","Bay Point CDP","Contra Costa","06013","Bay Area","01",8440.1689452,12167,0.6936935,0.3252984,1.0620887,0.1879567,27.095065,1,2.6039296,3.69,2013-04-12 04:33:06
"141",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04478","Bayview CDP","Humboldt","06023","North Coast","05",5955.4199712,25919,0.2297704,0.0580244,0.4015164,0.0876255,38.1361106,6,0.8624934,2.71,2013-04-12 04:33:06
"142",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04470","Bayview CDP","Contra Costa","06013","Bay Area","01",10427.3676,NA,NA,NA,NA,NA,NA,NA,NA,4.29,2013-04-12 04:33:06
"143",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04576","Beale AFB CDP","Yuba","06115","Sacramento Area","08",5984.1061104,11071,0.5405208,0,2.6066823,1.054164,195.0274534,2,2.0289626,2.71,2013-04-12 04:33:06
"144",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04632","Bear Creek CDP","Merced","06047","San Joaquin Valley","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-12 04:33:06
"145",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04716","Bear Valley CDP","Alpine","06003","Central/Southeast Sierra","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-12 04:33:06
"146",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04730","Bear Valley CDP","Mariposa","06043","Central/Southeast Sierra","03",6055.14,NA,NA,NA,NA,NA,NA,NA,NA,2.53,2013-04-12 04:33:06
"147",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04734","Bear Valley Springs CDP","Kern","06029","San Joaquin Valley","10",5642.04,34436,0.1638413,0,0.4957117,0.1693216,103.3448774,8,0.6150141,2.36,2013-04-12 04:33:06
"148",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04758","Beaumont city","Riverside","06065","Southern California","14",7408.761,21489,0.3447699,0.2490356,0.4405043,0.048844,14.167141,4,1.294169,3.25,2013-04-12 04:33:06
"149",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04772","Beckwourth CDP","Plumas","06063","Northeast Sierra","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-12 04:33:06
"150",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04856","Belden CDP","Plumas","06063","Northeast Sierra","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-12 04:33:06
"151",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04938","Bell Canyon CDP","Ventura","06111","Southern California","14",6917.8452,NA,NA,NA,NA,NA,NA,NA,NA,2.79,2013-04-12 04:33:06
"152",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04996","Bell Gardens city","Los Angeles","06037","Southern California","14",9606.6857736,19005,0.505482,0.3568539,0.6541101,0.0758307,15.0016514,2,1.8974368,4.13,2013-04-12 04:33:06
"153",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04870","Bell city","Los Angeles","06037","Southern California","14",8311.4451408,25188,0.3299764,0.2383038,0.4216489,0.0467717,14.1742607,4,1.2386382,3.66,2013-04-12 04:33:06
"154",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04926","Bella Vista CDP","Shasta","06089","Shasta","13",4420.7948892,7115,0.6213345,0,2.4721701,0.9443039,151.9799561,2,2.3323143,2.07,2013-04-12 04:33:06
"155",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","04982","Bellflower city","Los Angeles","06037","Southern California","14",7772.1889632,32016,0.2427595,0.2141024,0.2714166,0.014621,6.0228245,6,0.9112507,3.31,2013-04-12 04:33:06
"156",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","05108","Belmont city","San Mateo","06081","Bay Area","01",5654.5856184,57241,0.0987856,0,0.210654,0.0570757,57.7773631,10,0.3708132,2.41,2013-04-12 04:33:06
"157",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","05164","Belvedere city","Marin","06041","Bay Area","01",5620.5852,250000,0.0224823,NA,NA,NA,NA,10,0.0843924,2.33,2013-04-12 04:33:06
"158",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","05332","Ben Lomond CDP","Santa Cruz","06087","Monterey Bay","04",7060.6956,25521,0.2766622,0.0283052,0.5250192,0.1267128,45.8005322,5,1.0385117,2.95,2013-04-12 04:33:06
"159",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","05262","Benbow CDP","Humboldt","06023","North Coast","05",5010.24,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2013-04-12 04:33:06
"160",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","05276","Bend CDP","Tehama","06103","Northern Sacramento Valley","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2013-04-12 04:33:06
"161",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","05290","Benicia city","Solano","06095","Bay Area","01",6692.6794872,53579,0.1249124,0.0692952,0.1805295,0.0283761,22.7167894,9,0.4688858,2.94,2013-04-12 04:33:06
"162",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","05346","Benton CDP","Mono","06051","Central/Southeast Sierra","03",9210.408,NA,NA,NA,NA,NA,NA,NA,NA,4.4,2013-04-12 04:33:06
"163",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","06000","Berkeley city","Alameda","06001","Bay Area","01",6694.6942848,38691,0.1730298,0.140329,0.2057305,0.016684,9.6422918,8,0.6495049,2.92,2013-04-12 04:33:06
"164",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","06028","Bermuda Dunes CDP","Riverside","06065","Southern California","14",6495.489042,57619,0.1127317,0.0538422,0.1716213,0.0300457,26.6523874,9,0.4231631,2.65,2013-04-12 04:33:06
